dutch,english
kogels,bullets
toegeven,to give in
smith,smith
gedronken,drunk
hoog,high
quantity,quantity
gekeken,watched
cent,cent
punten,points
reet,ass
garage,garage
vrees,fear
groot,big
kluis,safe
slaapkamer,bedroom
vandoor,run away
wit,white
bezoeken,visits
politiek,politics
mogelijkheid,possibility
vertrekken,to leave
verdomd,damn
vervelend,annoying
rekenen,calculate
klap,clap
aanbieden,to offer
abby,abby
streek,region
zaterdag,Saturday
uwe,yours
zicht,view
jones,Jones
elf,eleven
gewend,accustomed
reactie,reaction
jazeker,"Yes, of course"
blauw,blue
herken,to recognise
verbonden,connected
reken,calculate
schoonheid,beauty
klus,job
verandering,change
vermoordt,murders
accepteren,accept
biertje,beer
roger,Roger
helen,heal
gebouwd,built
aankomen,arrive
trok,pulled
verhuizen,to move house
waarde,value
troep,rubbish
kust,coast
graf,grave
dans,dance
verdediging,defense
bleek,pale
taal,language
grotere,bigger
dier,animal
aanklacht,accusation
overheid,government
wed,wed
lossen,to unload
huizen,houses
uiteraard,of course
gerust,rest assured
manager,manager
verdedigen,defend
valse,false
lieten,left
westen,West
amper,barely
bekeken,viewed
stal,stable
job,Job
maakten,made
niveau,level
binnenkomen,enter
poging,attempt
behandeld,treated
overtuigd,convinced
gewacht,waited
stroom,current
wetenschap,science
momenteel,currently
wauw,wow
liedje,song
vals,false
vincent,Vincent
onderzocht,investigated
duurde,lasted
keel,throat
schepen,ships
gouden,golden
blind,blind
achterlaten,leave behind
gevangene,prisoner
voordeel,advantage
gevangenen,prisoners
eieren,eggs
verbrand,burnt
geduld,patience
eeuw,century
europa,Europe
gescheiden,separated
snelheid,speed
aardige,nice
gary,gary
rotzooi,mess
heette,was called
brak,broke
lichamen,bodies
bidden,to pray
natuur,nature
wijs,show
buik,belly
vinger,finger
king,king
gespeeld,played
feiten,facts
virus,virus
plus,plus
groene,green
bomen,trees
personeel,staff
pakt,takes
plekken,places
commissaris,commissioner
zuid,south
rechten,rights
veranderde,changed
stof,dust
badkamer,bathroom
leugens,lies
zondag,Sunday
erheen,there
smaak,taste
aanwezig,present
leraar,teacher
maandag,Monday
verliet,left
leefde,lived
het,It
pakte,grabbed
franse,French
bergen,to put away
duitsers,Germans
woede,fury
studeren,study
sliep,slept
kleding,clothing
stonden,stood
troepen,troops
eindigen,end
feite,fact
hemelsnaam,for heaven's sake
groeien,to grow
dean,dean
piloot,pilot
geesten,ghosts
controleer,check
verslag,report
ex,ex
julia,Julia
heks,witch
daarbij,in that
waarschuwen,warn
julie,Julie
victor,Victor
jenny,Jenny
melden,report
elizabeth,Elizabeth
oceaan,ocean
gas,gas
goden,gods
mogelijke,possible
voorlopig,provisional
verslagen,reports
gepland,planned
verdacht,suspicious
opgepakt,arrested
susan,Susan
privé,private
voren,forward
stan,stand
knappe,handsome
koffer,suitcase
zonde,shame
naakt,naked
neen,no
plegen,to commit
excuus,excuse
verrast,surprised
dienen,serve
graden,degrees
ongelofelijk,unbelievable
haten,hate
ervandoor,run away
opgewonden,excited
sterf,die
dubbele,double
boerderij,farm
rijke,rich
morgan,morgan
bord,board
honderden,hundreds
klootzakken,assholes
herstellen,recover
schrijft,writes
ernaar,to it
lord,Lord
besloot,decided
behandeling,treatment
morgenochtend,tomorrow morning
orders,orders
tong,tongue
vanmiddag,this afternoon
redt,saves
ruil,exchange
verklaren,to declare
lieg,lie
leert,learns
tegelijk,at the same time
marine,navy
champagne,Champagne
liefste,dearest
genade,grace
chauffeur,driver
wensen,wishes
verdien,earn
qoq,qoq
godverdomme,goddammit
eenzaam,lonely
wegens,because of
voorstel,proposal
gouverneur,governor
graven,to dig
terrein,terrain
ontmoeting,meeting
telt,counts
handel,trade
zwijgen,silence
ademen,to breathe
koos,chose
um,um
horloge,watch
staten,states
ronde,round
daarover,about that
verloofde,fiancée
pot,pot
donkere,dark
afspraakje,date
pensioen,pension
vrolijk,cheerful
poort,port
hoefde,didn't have to
gunst,favor
artikel,article
overval,raid
belangrijker,more important
netjes,correctly
knieën,knees
slimme,smart
aanraken,to touch
reputatie,reputation
ontdekte,discovered
ruik,smell
brood,bread
russische,Russian
vogels,birds
partij,side
verstoppen,hide
komst,arrival
verdieping,floor
dief,thief
voorbeeld,example
geur,scent
dichter,poet
vliegveld,airport
markt,market
burgers,citizens
centrum,center
volgde,followed
ontzettend,incredibly
beer,bear
terugkomt,comes back
brieven,letters
minstens,at least
onschuldige,innocent
stenen,stones
universum,universe
gezondheid,health
daarheen,there
wijze,wise
britse,British
komende,coming
kerstmis,Christmas
haven,harbor
huur,rent
plicht,duty
assistent,assistant
omgaan,to deal with
materiaal,material
laura,Laura
hartelijk,heartfelt
onszelf,ourselves
stelde,asked
shirt,shirt
sally,Sally
bevelen,to command
vergat,forgot
priester,priest
meent,thinks
zelfde,same
dossiers,files
proost,cheers
kloppen,to beat
gekend,known
vierde,fourth
kaas,cheese
opzoeken,look up
schrikken,to startle
amanda,Amanda
gepleegd,committed
daarin,in it
optreden,performance
veilige,safe
marcus,Marcus
beroep,profession
black,black
motief,motif
molly,molly
betaalde,paid
lucas,Lucas
verderop,further on
jacht,hunt
scheiden,to divorce
jeugd,youth
lokale,local
engel,angel
kerstman,Santa Claus
doei,bye
toestand,condition
technologie,technology
gebaseerd,based
lichten,lights
bovendien,moreover
cijfers,numbers
bewaren,save
belofte,promise
vertaald,translated
teleurgesteld,disappointed
vriendschap,friendship
medelijden,pity
ramp,disaster
ren,run
verzet,resists
richten,to aim
steunen,supports
wolf,wolf
advocaten,lawyers
dwars,thwarted
oefenen,to practice
bezwaar,objection
bevestigen,to confirm
wijzen,ways
nachtmerrie,nightmare
groen,green
minst,least
eindigt,ends
verkoopt,sells
zwembad,swimming pool
verdriet,sadness
winter,winter
afgesloten,closed
geheel,whole
verwijderd,deleted
donder,thunder
mobiel,mobile
monsters,monsters
okee,okay
interesseert,interests
leden,members
gooide,threw
muren,walls
koers,course
nat,wet
bekende,known person
waarheen,where to
hierin,in this
uniform,uniform
voorbereid,prepared
wild,wild
regen,rain
drinkt,drinks
studenten,students
bepalen,determine
briefje,note
fuck,fuck
berichten,to inform
gok,guess
voldoende,sufficient
samenwerken,to collaborate
lekkere,delicious
ruiken,smell
klok,clock
duitsland,Germany
gemeenschap,community
redelijk,reasonable
wezens,creatures
echter,however
getekend,signed
overwinning,victory
rebecca,Rebecca
klonk,sounded
onderwerp,subject
verklaart,declares
olie,oil
bewust,consciously
bemanning,crew
tellen,to count
degenen,those
overkomt,happens
vertrouwt,trusts
hang,hang
schoten,shots
seconde,second
geldt,applies
delict,offense
gibbs,Gibbs
groeten,greetings
maag,stomach
beantwoorden,to answer
allerlei,all kinds
wandelen,walking
howard,Howard
waarschuwing,warning
gewaarschuwd,warned
begreep,understood
johnson,Johnson
kist,chest
middelbare,secondary school
michelle,Michelle
training,training
texas,Texas
pik,cock
race,race
geliefde,beloved
nationale,national
gedeelte,portion
wassen,to wash
verwachtte,expected
scheelt,makes a difference
ophangen,to hang
douche,shower
reageren,respond
zwijg,be silent
alcohol,alcohol
stoor,disturb
verdiende,earned
geschenk,gift
sprong,jump
bewakers,guards
aangenomen,accepted
model,model
data,data
oor,ear
jeetje,gosh
spelletjes,games
noch,nor
wedden,betting
meedoen,participate
winst,gain
gereed,ready
middag,afternoon
lijf,body
oliver,oliver
donna,donna
onthouden,to remember
daarop,on that
identiteit,identity
crimineel,criminal
openbaar,public
verpesten,to bully
moordenaars,murderers
bewaker,guard
andrew,Andrew
beloofde,promised
gods,gods
zowel,both
media,media
angela,Angela
letten,pay attention
breekt,breaks
sprake,talk
kansen,chances
explosie,explosion
indrukwekkend,impressive
plotseling,suddenly
schutter,shooter
hekel,hate
fort,fort
ingewikkeld,complicated
lied,song
vriendinnen,girlfriends
besef,realize
spiegel,mirror
gevochten,fought
lege,empty
onlangs,recently
stand,stand
woestijn,desert
gedwongen,forced
russen,Russians
jamie,Jamie
idioten,idiots
gezellig,pleasant
lunchen,lunch
hielden,held
cooper,cooper
seizoen,season
resultaten,results
pagina,page
frans,French
vlieg,fly
bril,glasses
spannend,exciting
doodt,kills
mensheid,humanity
botten,bones
busje,van
herinnering,memory
olivia,Olivia
kaartje,card
pop,doll
verschuldigd,owed
gesteld,asked
hee,hey
tweeën,twos
zielig,pathetic
my,my
terry,Terry
parker,parker
hal,hall
letterlijk,literal
banden,tyres
route,route
vliegt,flies
walgelijk,disgusting
gegooid,thrown
smerig,dirty
verwijderen,to delete
uitzien,look
beweegt,moves
hierover,about this
mannetje,male
genie,genius
burger,citizen
bedreiging,threat
lef,courage
wilson,Wilson
vlakbij,nearby
gevolgen,implications
gedag,hello
ontslaan,fire
nummers,numbers
verzamelen,collect
jongeman,young man
huiswerk,homework
huis,house
koude,cold
verontschuldigen,to apologize
gevaarlijke,dangerous
lelijk,ugly
verbaasd,surprised
vuil,filthy
ondertussen,meanwhile
gelukkige,happy
leest,reads
verplaatsen,move
starten,start
gerechtigheid,justice
onderdeel,element
wijst,points
scheiding,parting
welnee,no way
partners,partners
hoogste,highest
snijden,cutting
soorten,species
touw,rope
zijde,side
ellende,trouble
nep,fake
joden,Jews
klagen,complain
zacht,soft
aap,monkey
won,won
dringend,urgent
teruggaan,go back
eisen,to demand
veroordeeld,convicted
neerschieten,shoot down
vloek,curse
stijl,style
smeek,beg
rand,edge
verrader,traitor
tel,count
romantisch,romantic
zorgde,took care
gordon,Gordon
stelletje,bunch
hersens,brains
verdwijnt,disappears
middelen,resources
roept,calls
bruce,Bruce
leveren,deliver
dekking,coverage
onthoud,remember
hof,court
politieke,political
cheque,check
schaduw,shadow
kasteel,castle
lagen,layers
dertig,thirty
branden,burn
leidde,led
resultaat,result
catherine,Catherine
aangekomen,arrived
constant,constant
hannah,Hannah
waarbij,whereby
wanhopig,desperate
verkracht,raped
jessica,Jessica
winnaar,winner
waardeloos,worthless
merken,to notice
californië,California
brown,brown
doctor,doctor
ongerust,worried
snelle,fast
slet,slut
fiets,bicycle
vocht,moisture
opruimen,clean up
chief,chief
ethan,ethan
daaraan,to that
gsm,mobile phone
gewild,popular
overeenkomst,agreement
spring,jump
schilderij,painting
middernacht,midnight
brein,brain
richt,direct
onbekende,unknown
vervolgens,then
iemands,someone's
fabriek,factory
geschikt,suitable
ontspannen,relaxed
anne,Anne
win,win
broertje,little brother
gelopen,walked
davis,Davis
apparaat,device
storen,disturb
handelen,to act
dwingen,force
optie,option
slang,snake
amen,amen
student,student
hoorden,heard
opdagen,show up
volkomen,completely
makker,buddy
duisternis,darkness
briljant,brilliant
schouder,shoulder
miller,miller
godzijdank,thank God
lacht,laughs
dwaas,fool
wachtte,waited
mac,mac
verdrietig,sad
bereik,reach
gozer,guy
gezorgd,taken care of
spion,spy
roy,Roy
wond,wound
campagne,campaign
boston,Boston
mogelijkheden,possibilities
dinsdag,Tuesday
lever,liver
avonds,evening
weggegaan,gone away
verbinding,connection
dek,deck
meegaan,go along
nieuwsgierig,curious
helder,bright
omlaag,down
borsten,breasts
oosten,east
namelijk,namely
schande,shame
ondertiteling,subtitles
overeen,agree
kanten,edges
warme,warm
gewicht,weight
bedrijven,companies
derek,Derek
stront,shit
vet,fat
geschenk,gift
negeren,to ignore
goeds,good
justitie,justice
sneeuw,snow
aanklager,prosecutor
zand,sand
sport,sport
besefte,realized
versie,version
minste,least
hartaanval,heart attack
bo,bo
c,c
as,ash
illegaal,illegal
vertrouwde,trusted
voort,forward
varken,pig
prettig,pleasant
jacob,Jacob
moge,may
donderdag,Thursday
straten,streets
hout,wood
bovenop,on top
etentje,dinner
sindsdien,since then
vaste,fixed
moeilijker,more difficult
merk,brand
verdachten,suspects
durft,dares
opgegeven,given up
weggaat,goes away
truc,trick
frankie,Frankie
ei,egg
wegen,roads
planten,plants
pen,pen
beth,Beth
aanwezigheid,presence
stemming,mood
bravo,Bravo
overleefd,survived
gedurende,during
magische,magical
levende,living
therapie,therapy
geplaatst,placed
grijp,grab
gericht,focused
voorafging,preceding
duwen,Push
ui,onion
sociale,social
beker,cup
opeten,eat
daarbinnen,within it
beloning,reward
dapper,brave
concentreren,concentrate
heleboel,a lot
beschikbaar,available
seksuele,sexual
bezorgen,deliver
koopt,buys
hek,fence
lois,Lois
bied,offer
huidige,current
on,on
achterna,chase
verenigde,united
golf,golf
café,cafe
suiker,sugar
lippen,lips
zuurstof,oxygen
gevoelig,sensitive
herhaal,repeat
hmm,hmm
gras,grass
gekwetst,hurt
smerige,dirty
filmen,filming
daisy,daisy
tunnel,tunnel
rock,rock
verstandig,sensible
organisatie,organization
voorgoed,forever
families,families
betwijfel,doubt
meekomen,come along
geruchten,rumors
angeles,angeles
redde,saved
doorbrengen,spend
puur,pure
stak,stuck
diamanten,diamonds
lading,cargo
miami,Miami
bevestigd,confirmed
stinkt,stinks
inclusief,inclusive
oudere,older
verraad,betrayal
interview,interview
middel,resourse
geboorte,birth
nicht,not
momenten,moments
podium,stage
effect,effect
vijftien,fifteen
houding,attitude
veroorzaken,cause
verpleegster,nurse
lig,light
bibliotheek,library
schrijver,writer
beloven,promise
identificeren,identify
hut,hut
goedenacht,good night
volgend,next
gecontroleerd,checked
beroemd,famous
masker,mask
scherp,sharp
sophie,Sophie
trainen,train
kamers,rooms
quinn,Quinn
kampioen,champion
graaf,count
oscar,Oscar
oproep,call
carrie,Carrie
achterin,in the back
beters,better
veroorloven,to afford
helikopter,helicopter
zekere,certain
gelegd,laid
miljard,billion
vies,dirty
geintje,joke
uitgaan,going out
weleens,sometimes
bruid,bride
voer,feed
praatte,talked
marshall,Marshall
aanwijzingen,directions
nina,Nina
rusland,Russia
eva,eva
benzine,petrol
wegging,went away
keizer,emperor
vrouwelijke,female
marie,Marie
vince,Vince
voeden,feed
studio,studio
gif,poison
edward,Edward
uitnodiging,invitation
probeerden,tried
datje,date
ketting,chain
schitterend,wonderful
velen,many
zekerheid,security
kliniek,clinic
dylan,Dylan
museum,museum
handtekening,signature
bevrijden,liberate
ramen,windows
russell,Russell
rechtszaak,court case
dokters,doctors
rijd,drive
kopie,copy
